AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date,Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
Franklin Templeton Asset Management (India) Private Limited,118569,Franklin India Corporate Debt Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Franklin India Corporate Debt Fund - Direct - GROWTH,PlanA Rs.50 lakhs; PlanB Rs.25000 (MD&QD),24-Jun-1997,,INF090I01FW8
Nippon Life India Asset Management Limited,118814,Nippon India Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,Growth Plan   Rs. 1000 & other Plans   Rs. 5000,16-Aug-2000,14-Sep-2000,INF204K01C15
Sundaram Asset Management Company Ltd,119621,Sundaram Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Sundaram Corporate Bond Fund Direct Plan - Growth,1000,20-Dec-2004,,INF903J01NR4
Aditya Birla Sun Life AMC Limited,119533,Aditya Birla Sun Life Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,5000,20-Mar-1997,20-Mar-1997,INF209K01S38
Invesco Asset Management (India) Private Limited,120497,Invesco India Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Invesco India Corporate Bond Fund - Direct Plan - Growth,5000/- and in multiples of Re.1/-,27-Jul-2007,30-Jul-2007,INF205K01RF8
ICICI Prudential Asset Management Company Limited,120692,ICICI Prudential Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,15000 Reg 5Cr Premium 200Cr SuperPre,10-Jun-2009,,INF109K016B1
HDFC Asset Management Company Limited,118987,HDFC Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,HDFC Corporate Bond Fund - Growth Option - Direct Plan,5000,25-Jun-2010,,INF179K01XD8
Canara Robeco Asset Management Company Limited,126685,Canara Robeco Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,Rs. 5000.00 and multiples of Re.1.00 thereafter,17-Jan-2014,,INF760K01HB2
Kotak Mahindra Asset Management Company Limited.,133791,Kotak Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Kotak Corporate Bond Fund- Direct Plan- Growth Option,5000,18-Sep-2007,20-Sep-2007,INF178L01BY0
Bandhan AMC Limited,135916,BANDHAN Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,BANDHAN Corporate Bond Fund - Direct Growth,Fresh Purchase - Rs.5000/- and in multiple of Re1,28-Dec-2015,,INF194KA1M23
PGIM India Asset Management Private Limite,138330,PGIM India Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,PGIM India Corporate Bond Fund - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter.,14-Jan-2003,20-Jan-2003,INF223J01OO2
Axis Asset Management Co. Ltd.,141588,AXIS Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Axis Corporate Bond Fund - Direct Plan Growth,5000 and in multiples of Re. 1/- thereafter,23-Jun-2017,07-Jul-2017,INF846K01ZM8
Union Asset Management Company Private Limited,143241,Union Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Union Corporate Bond Fund - Direct Plan - Growth Option,Rs.1000 and Rs.1 thereafter,04-May-2018,,INF582M01DU5
UTI Asset Mgmt. Co. Ltd.,144339,UTI - Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,UTI Corporate Bond Fund - Direct Plan - Growth Option,Rs 5000 and in multiple of Rs 1,23-Jul-2018,,INF789F1A538
DSP Asset Managers Private Limited,144646,DSP Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,DSP Corporate Bond Fund - Direct - Growth,Rs. 1000/  and any amount thereafter.,23-Aug-2018,05-Sep-2018,INF740KA1KE8
SBI Funds Management Limited,146215,SBI Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,SBI Corporate Bond Fund - Direct Plan - Growth,Rs. 5000/- and in multiples of Re. 1/- thereafter,16-Jan-2019,29-Jan-2019,INF200KA1YR4
Mirae Asset Investment Managers (India) Pvt. Ltd,148755,Mirae Asset Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Mirae Asset Corporate Bond Fund Direct Growth Plan,Investors can invest under the Scheme during the N,24-Feb-2021,,INF769K01HD9
Tata Asset Management Limited,149361,Tata Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Tata Corporate Bond Fund-Direct Plan-Growth,5000/-,22-Nov-2021,,INF277KA1224
Baroda BNP Paribas Asset Management India Private Limited,150237,BARODA BNP PARIBAS CORPORATE BOND FUND,Open Ended,Debt Scheme - Corporate Bond Fund,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,5000,29-Sep-2008,22-Oct-2008,INF251K01GP4
HSBC Asset Management (India) Private Ltd.,150996,HSBC Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,HSBC Corporate Bond Fund - Direct Growth,Rs. 5000 and in multiples of Re. 1 thereafter,10-Feb-1997,,INF917K01HN3
Trust Asset Management Private Limited,151320,TRUSTMF CORPORATE BOND FUND,Open Ended,Debt Scheme - Corporate Bond Fund,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH,1000,09-Jan-2023,,INF0GCD01560